Path	Start	Prob_imm	isStart	IUPAC	MonoIDs	Monosaccs	Existing glycan
1	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
1	SBID6185	0.9525148868560791	False	LDManHepOPEtn(a2-3)Gal(b1-3)GalNAc	[9, 4, 22]	['LDManHepOPEtn', 'Gal', 'GalNAc']	Novel
1	SBID6185	0.9695559740066528	False	GalOPyr(a2-3)Gal(b1-3)GalNAc	[9, 4, 70]	['GalOPyr', 'Gal', 'GalNAc']	Novel
1	SBID6185	0.9958569407463074	False	GalOPyr(a2-3)Gal(b1-3)GalOS	[28, 4, 70]	['GalOPyr', 'Gal', 'GalOS']	Novel
1	SBID6185	0.9957706332206726	False	GalOPyr(a2-3)Gal(b1-3)GlcNAcOS	[26, 4, 70]	['GalOPyr', 'Gal', 'GlcNAcOS']	Novel
1	SBID6185	0.9958569407463074	False	GalOPyr(a2-3)Gal(b1-3)GalOS	[28, 4, 70]	['GalOPyr', 'Gal', 'GalOS']	Novel
1	SBID6185	0.9977994561195374	False	GalOPyr(a2-3)Gal(b1-3)GlcNAc	[5, 4, 70]	['GalOPyr', 'Gal', 'GlcNAc']	Novel
1	SBID6185	0.9695559740066528	False	GalOPyr(a2-3)Gal(b1-3)GalNAc	[9, 4, 70]	['GalOPyr', 'Gal', 'GalNAc']	Novel
1	SBID6185	0.998649537563324	False	GalOPyr(a2-3)Gal(b1-3)QuiNAc	[23, 4, 70]	['GalOPyr', 'Gal', 'QuiNAc']	Novel
1	SBID6185	0.9919174313545227	False	GalOPyr(a2-3)Gal(b1-3)Hex	[260, 4, 70]	['GalOPyr', 'Gal', 'Hex']	Novel
1	SBID6185	0.9894329905509949	False	GalOPyr(a2-3)GalNAc(b1-3)Hex	[260, 9, 70]	['GalOPyr', 'GalNAc', 'Hex']	Novel
2	SBID6185	0.8237251043319702	True	NeuNAc(a2-3)Gal(b1-3)GalNAc	[9, 4, 11]	['NeuNAc', 'Gal', 'GalNAc']	Non-immunogenic
2	SBID6185	0.5429629683494568	False	L-Gal(a2-3)Gal(b1-3)GalNAc	[9, 4, 125]	['L-Gal', 'Gal', 'GalNAc']	Novel
2	SBID6185	0.970817506313324	False	L-Gal(a2-3)Gal(b1-3)aldehyde-Gro	[351, 4, 125]	['L-Gal', 'Gal', 'aldehyde-Gro']	Novel
2	SBID6185	0.9733066558837891	False	L-Gal(a2-3)GalOP(b1-3)aldehyde-Gro	[351, 61, 125]	['L-Gal', 'GalOP', 'aldehyde-Gro']	Novel
2	SBID6185	0.9930106997489929	False	L-Gal(a2-3)GlcNAcOP(b1-3)aldehyde-Gro	[351, 57, 125]	['L-Gal', 'GlcNAcOP', 'aldehyde-Gro']	Novel
2	SBID6185	0.9945875406265259	False	L-Gal(a2-3)Galf(b1-3)aldehyde-Gro	[351, 21, 125]	['L-Gal', 'Galf', 'aldehyde-Gro']	Novel
2	SBID6185	0.9884064793586731	False	L-Gal(a2-3)LyxHex(b1-3)aldehyde-Gro	[351, 143, 125]	['L-Gal', 'LyxHex', 'aldehyde-Gro']	Novel
2	SBID6185	0.988493025302887	False	L-Gal(a2-3)Ara(b1-3)aldehyde-Gro	[351, 32, 125]	['L-Gal', 'Ara', 'aldehyde-Gro']	Novel
2	SBID6185	0.970817506313324	False	L-Gal(a2-3)Gal(b1-3)aldehyde-Gro	[351, 4, 125]	['L-Gal', 'Gal', 'aldehyde-Gro']	Novel
2	SBID6185	0.9735190272331238	False	Gal(a2-3)Gal(b1-3)aldehyde-Gro	[351, 4, 4]	['Gal', 'Gal', 'aldehyde-Gro']	Novel
