"SugarBase_ID","Glycan","Link","Species","Immunogenic"
"SBID33","ManOP(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID124","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID208","Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[NeuNAc(a2-6)]GalNAc","O","Homo sapiens","No"
"SBID229","Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID267","Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID272","GalNAc(b1-4)[NeuNAc(a2-3)]Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID274","Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID298","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens, MurineLeukemia Virus","No"
"SBID299","NeuNAc(a2-3)Gal(b1-4)GlcNAcOS(b1-6)[NeuNAc(a2-3)Gal(b1-3)]GalNAc","O","Homo sapiens","No"
"SBID318","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc","O","Homo sapiens","No"
"SBID329","Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","AvianInfluenzaA Virus, Bos taurus, Canis lupus, Capra hircus, Cavia porcellus, Coturnix japonica, Gallus gallus, Homo sapiens, HumanImmunoDeficiency Virus, Marburg Virus, Mesocricetus auratus, Mus musculus, Oryctolagus cuniculus, Ovis aries, Rattus norvegicus, Sus scrofa","No"
"SBID332","Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc","N","Acer pseudoplatanus, Actinidia chinensis, Allium cepa, Apium graveolens oulce, Arabidopsis thaliana, Arachis hypogaea, Armoracia rusticana, Artocarpus heterophyllus, Artocarpus intergrifolia, Asparagus officinalis, Bos taurus, Brassica oleracea, Brassica rapa, Caesalpinia pulcherrima, Citrus sinensis, Clerodendrum trichotomum, Cocos nucifera, Corylus avellana, Cucurbita pepo melopepo, Daucus carota, Erythrina corallodendron, Erythrina cristagalli, Fragaria ananassa, Ginkgo biloba, Glycine max, Homo sapiens, Juglans regia, Lotus tetragonolobus, Lupinus luteus, Malus domestica, Musa acuminata, Nicotiana tabacum, Olea europaea, Persea americana, Phaseolus vulgaris, Physcomitrella patens, Pinus pinea, Pistacia vera, Pisum sativum, Prunus dulcis sativa, Pyrus communis williams, Ricinus communis, Silene latifolia, Solanum lycopersicum, Solanum tuberosum, Synsepalum dulcificum, Vatairea macrocarpa, Vigna radiata radiata, Zingiber officinale","No"
"SBID371","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc","N","Homo sapiens","No"
"SBID373","NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-4)[NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Bos taurus, Gallus gallus, Homo sapiens","No"
"SBID377","Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc","N","Homo sapiens","No"
"SBID379","Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GalNAc","O","Homo sapiens","No"
"SBID384","Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc","O","Homo sapiens","No"
